building_genome_id,province_territory,climate_zone,metro,sector,vintage,weather_station,building_type,building_envelope_bin,year,building_genome_gfa,building_genome_qty,unit_gfa,hdd_bal_point,hdd,cdd_bal_point,cdd,load_heating_annual_kwh,load_cooling_annual_kwh,load_dhw_annual_kwh,load_lighting_annual_kwh,load_cooking_annual_kwh,load_dryer_annual_kwh,load_appliances_annual_kwh,load_motors_annual_kwh,load_process_annual_kwh,heating_bin_min_eui_kwh_per_sqm,heating_bin_max_eui_kwh_per_sqm
14762,MB,8,Outside Major Metro,com,ex,MB CZ8 - Churchill,school,-1,2021,0.003561,1,3608.96130346232,hdd_16,7589.591667,cdd_16,93.35,996724.787016878,19313.4526744814,54570.3265549115,136085.602381325,0,0,0,45361.8674604418,156781.954410152,244.846542004727,306.058177505909
14763,NB,7A,Outside Major Metro,com,ex,NB CZ7a - Edmundston,school,-1,2021,0.099982,28,3608.96130346232,hdd_16,4466.083333,cdd_16,375.775,275904.648775144,221788.077740204,41462.762941842,183463.552840009,0,0,0,39313.6184657162,167633.269137814,67.7762809308753,84.7203511635941
14764,NB,6,Outside Major Metro,com,ex,NB CZ6 - Fredericton,school,-1,2021,0.00783,2,3608.96130346232,hdd_16,3566.672917,cdd_16,457.345833,220341.083022219,269932.414778956,41462.762941842,183463.552840009,0,0,0,39313.6184657162,167633.269137814,54.1270297902738,67.6587872378423
14765,NL,6,Outside Major Metro,com,ex,NL CZ6 - St. John's,school,-1,2021,0.086129,24,3608.96130346232,hdd_16,3707.097917,cdd_16,176.44375,242759.05518527,223543.325144008,41462.762941842,183463.552840009,0,0,0,39313.6184657162,167633.269137814,59.6340293496098,74.5425366870122
14766,NL,7A,Outside Major Metro,com,ex,NL CZ7a - Goose Bay,school,-1,2021,0.00783,2,3608.96130346232,hdd_16,4989.108333,cdd_16,220.8625,326711.420160213,279819.135841415,41462.762941842,183463.552840009,0,0,0,39313.6184657162,167633.269137814,80.257020294537,100.321275368171
14767,NS,6,Outside Major Metro,com,ex,NS CZ6 - Halifax,school,-1,2021,0.118653,33,3608.96130346232,hdd_16,3249.145833,cdd_16,373.616667,245994.104851344,230732.13982582,41462.762941842,183463.552840009,0,0,0,39313.6184657162,167633.269137814,60.4287228640777,75.5359035800972
14768,ON,6,Outside Major Metro,com,ex,ON CZ6 - Ottawa,school,-1,2021,0.477784,132,3608.96130346232,hdd_16,3565.752083,cdd_16,622.35625,530417.288584105,230016.366480865,75211.9273490222,177456.584276555,0,0,0,45026.2975030066,201788.000865459,130.297591292011,162.871989115013
14769,ON,5,Outside Major Metro,com,ex,ON CZ5 - Toronto,school,-1,2021,0.019955,6,3608.96130346232,hdd_16,2655.916667,cdd_16,759.477083,395076.293703023,280694.793467803,75211.9273490222,177456.584276555,0,0,0,45026.2975030066,201788.000865459,97.0509267966978,121.313658495872
14770,ON,7A,Outside Major Metro,com,ex,ON CZ7a - Thunder Bay,school,-1,2021,0.015394,4,3608.96130346232,hdd_16,4416.922917,cdd_16,412.85,657031.734957031,152585.045786276,75211.9273490222,177456.584276555,0,0,0,45026.2975030066,201788.000865459,161.400569532411,201.750711915514
14771,PE,6,Outside Major Metro,com,ex,PE CZ6 - Charlottetown,school,-1,2021,0.020478,6,3608.96130346232,hdd_16,3454.666667,cdd_16,366.5375,247089.931156199,226446.442362525,41462.762941842,183463.552840009,0,0,0,39313.6184657162,167633.269137814,60.6979138031179,75.8723922538974
14772,QC,7A,Outside Major Metro,com,ex,QC CZ7a - Quebec City,school,-1,2021,0.42142,117,3608.96130346232,hdd_16,3964.935417,cdd_16,444.147917,377500.9377056,169313.459062604,66594.2383385935,219738.80754705,0,0,0,53713.9307337233,267094.962115745,92.7335212334728,115.916901541841
14773,QC,7B,Outside Major Metro,com,ex,QC CZ7b - Normandin,school,-1,2021,0.027454,8,3608.96130346232,hdd_16,4675.96875,cdd_16,348.679167,445198.32031531,132919.853067412,66594.2383385935,219738.80754705,0,0,0,53713.9307337233,267094.962115745,109.363457852554,136.704322315693
14774,QC,6,Outside Major Metro,com,ex,QC CZ6 - Montreal,school,-1,2021,0.041639,12,3608.96130346232,hdd_16,3398.595833,cdd_16,705.102083,323579.826379766,268791.697755451,66594.2383385935,219738.80754705,0,0,0,53713.9307337233,267094.962115745,79.487740832349,99.3596760404362
14775,SK,7A,Outside Major Metro,com,ex,SK CZ7a - Saskatoon,school,-1,2021,0.168521,47,3608.96130346232,hdd_16,5111.1375,cdd_16,529.133333,670816.001592227,141222.244438445,96435.3472276589,244511.529481894,0,0,0,73353.4588445681,239560.171009885,164.78668981723,205.983362271537
14776,SK,7B,Outside Major Metro,com,ex,SK CZ7b - Prince Albert,school,-1,2021,0.014043,4,3608.96130346232,hdd_16,5414.935417,cdd_16,426.7625,710688.242159809,113900.13505757,96435.3472276589,244511.529481894,0,0,0,73353.4588445681,239560.171009885,174.581349639197,218.226687048996
14777,TR,7B,Outside Major Metro,com,ex,YT CZ7b - Whitehorse,school,-1,2021,0.02258,6,3608.96130346232,hdd_16,6249.56875,cdd_16,120.791667,276349.560596634,168368.048685805,37214.0580132417,149525.016672995,0,0,0,54372.7333356347,146459.753831199,67.8855740099758,84.8569675124697
14778,TR,8,Outside Major Metro,com,ex,NU CZ8 - Iqaluit,school,-1,2021,0.005348,1,3608.96130346232,hdd_16,8020.6375,cdd_16,3.341667,354664.415657461,4657.85402355402,37214.0580132417,149525.016672995,0,0,0,54372.7333356347,146459.753831199,87.1237044337558,108.904630542195
14779,AB,6,Calgary,com,ex,AB CZ6 - Calgary,university,-1,2021,0.278446,37,7572.48611967921,hdd_16,4262.227083,cdd_14,589.070833,1241259.34057239,122135.167257442,151400.820416178,334090.501236633,0,0,0,115646.711966527,479496.967082545,145.319864844011,181.649831055013
14780,AB,7A,Edmonton,com,ex,AB CZ7a - Edmonton,university,-1,2021,0.272138,36,7572.48611967921,hdd_16,5050.7625,cdd_14,480.945833,1470899.13513596,99717.0398949709,151400.820416178,334090.501236633,0,0,0,115646.711966527,479496.967082545,172.204837885499,215.256047356874
14781,AB,6,Lethbridge,com,ex,AB CZ6 - Lethbridge,university,-1,2021,0.02433,3,7572.48611967921,hdd_16,3768.014583,cdd_14,788.625,1097333.20292023,163509.786739688,151400.820416178,334090.501236633,0,0,0,115646.711966527,479496.967082545,128.469778655344,160.58722331918
