climate_zone,dwelling_type,hvac_system,population_share
CZ_7A,sfd,condensing gas wo AC,0.05819
CZ_7A,sfd,electric resistance w AC,0.11185
CZ_7A,sfd,electric resistance wo AC,0.01415
CZ_7A,sfd,gshp,0.0
CZ_7A,sfd,non-condensing gas w AC,0.14025
CZ_7A,sfd,non-condensing gas wo AC,0.01775
CZ_7A,sfd,oil w AC,0.02042
CZ_7A,sfd,oil wo AC,0.00258
CZ_7A,sfd,propane w AC,0.02929
CZ_7A,sfd,propane wo AC,0.00371
CZ_7A,sfd,wood w AC,0.03196
CZ_7A,sfd,wood wo AC,0.00404
